movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_tomato_audience,movie_tomato_tomatometer,movie_imdb_rating,movie_imdb_metascore,movie_average_score,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
JOJO RABBIT,"$14,000,000 ","$33,370,906 ","$86,878,073 ",comedy,94,80,7.9,58,77.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,8-Nov,2019
IT FOLLOWS,"$2,000,000 ","$14,674,077 ","$23,236,296 ",horror,66,95,6.8,83,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Robert Mitchell,Maika Monroe,Keir Gilchrist,Olivia Luccardi,13-Mar,2015
BARBARIAN,"$4,500,000 ","$40,842,944 ","$45,352,337 ",horror,71,93,7,78,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Zach Cregger,Georgina Campbell,Bill Skarsgård,Justin Long,9-Sep,2022
NO TIME TO DIE,"$250,000,000.00 ","$160,891,007.00 ","$759,959,662.00 ",action,88,83,7.3,68,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Cary Joji Fukunaga,Daniel Craig,Ana de Armas,Rami Malek,8-Oct,2021
JERRY MAGUIRE,"$50,000,000.00 ","$153,952,592.00 ","$273,552,592.00 ",romance,79,84,7.3,77,78.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,13-Dec,1996
THE NICE GUYS,"$50,000,000.00 ","$36,261,763.00 ","$59,596,747.00 ",action,79,91,7.3,70,78.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shane Black,Russell Crowe,Ryan Gosling,Angourie Rice,20-May,2016
"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI","$12,000,000 ","$54,513,740 ","$161,158,351 ",comedy,87,57,8.1,88,78.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,1-Dec,2017
ROGUE ONE: A STAR WARS STORY,"$200,000,000.00 ","$533,539,991.00 ","$1,055,083,596.00 ",action,87,84,7.8,65,78.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,16-Dec,2016
END OF WATCH,"$15,000,000 ","$41,003,371 ","$57,586,606 ",crime,86,85,6.8,76,78.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,21-Sep,2012
THE SUICIDE SQUAD,"$185,000,000.00 ","$55,817,425.00 ","$167,097,737.00 ",action,82,90,7.2,72,79,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Gunn,Margot Robbie,Idris Elba,John Cena,5-Aug,2021
ROAD TO PERDITION,"$80,000,000 ","$104,054,514 ","$183,354,514 ",crime,86,81,7.7,72,79,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,12-Jul,2002
